Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1020,rodmiecie,Warszawa,3.0,14946.0,52.2328098,21.019067,634000.0,2.0,42.3,1952.0
1021,Biaoeka,Warszawa,0.0,10007.0,52.3196649,21.0211773,350000.0,2.0,44.0,2010.0
1022,Stare Miasto pl Juliusza Kossaka 5,Krakow,5.0,22429.0,50.056192,19.9284059,629481.0,1.0,39.59,2020.0
1023,Wochy,Warszawa,4.0,10759.0,52.1861093,20.9484377,910000.0,3.0,71.14,2017.0
1024,Prsdnik Biay,Krakow,5.0,27569.0,50.1035684,19.9536031063012,460103.0,2.0,44.6,2020.0
1025,Jezyce,Poznan,3.0,2340.0,52.413045,16.9022122,475000.0,2.0,53.9,1960.0
1026,Krowodrza obzow Nawojki,Krakow,2.0,22195.0,50.0686102,19.912086,740000.0,3.0,63.0,1976.0
1027,Wola Odolany,Warszawa,8.0,12223.0,52.2143854,20.9478636,834000.0,4.0,66.72,2020.0
1028,Stare Miasto Pistkowo,Poznan,10.0,2884.0,52.4006632,16.91973259178088,358000.0,2.0,48.8,1978.0
1029,Mokotow Dolny Mokotow,Warszawa,3.0,7887.0,52.1964999,21.0463338,389000.0,1.0,28.21,1955.0
1030,Wola Juliana Konstantego Ordona,Warszawa,1.0,12448.0,52.2247928,20.9525803,534543.0,2.0,46.78,2021.0
1031,Jezyce,Poznan,1.0,1620.0,52.413045,16.9022122,299000.0,1.0,32.0,2020.0
1032,rodmiecie Zurawia,Warszawa,1.0,14485.0,52.2319581,21.0067249,760000.0,3.0,53.0,75.0
1033,Stare Miasto Rakowicka,Krakow,0.0,24447.0,50.0716873,19.9551456,986000.0,3.0,50.5,1920.0
1034,Zoliborz,Warszawa,4.0,9001.0,52.2675944,20.9796975,810000.0,3.0,80.0,1994.0
1035,Zoliborz,Warszawa,1.0,15975.0,52.2675944,20.9796975,779000.0,4.0,65.0,1960.0
1036,Biaoeka Leona Berensona,Warszawa,2.0,10429.0,52.3246245,21.0547602,328700.0,2.0,38.0,2020.0
1037,Ochota Stara Ochota Czestochowska,Warszawa,2.0,17850.0,52.2150882,20.9773835,768000.0,2.0,48.0,1936.0
1038,Stare Miasto Kazimierz,Krakow,3.0,25573.0,50.051855,19.9449466,770000.0,2.0,47.26,1900.0
1039,Grzegorzki,Krakow,2.0,28136.0,50.06497215,19.968825516425383,658250.0,2.0,52.66,2022.0
1040,PragaPoudnie Gocaw,Warszawa,2.0,17481.0,52.2286331,21.1065722,845000.0,5.0,106.0,1995.0
1041,Mokotow Wygledow,Warszawa,4.0,9518.0,52.19513205,20.996452781843846,449000.0,1.0,36.0,1956.0
1042,Podgorze Lwowska,Krakow,0.0,29690.0,50.0448486,19.950364,850000.0,2.0,71.0,1950.0
1043,Stare Miasto Naramowice ul Czarnucha,Poznan,1.0,2008.0,52.4499763,16.9527562,451248.0,3.0,67.15,2020.0
1044,Zoliborz Burakow Powszkowska,Warszawa,6.0,14758.0,52.2319581,21.0067249,1700000.0,4.0,107.0,2014.0
1045,Krowodrza Jana Buszka,Krakow,0.0,27640.0,50.067447,19.9029341,690000.0,2.0,45.0,2018.0
1046,Nowe Miasto Polanka 2,Poznan,5.0,4674.0,52.39975875,16.954659974486166,870720.0,3.0,72.56,2020.0
1047,Grunwald Junikowo,Poznan,1.0,4863.0,52.39004985,16.85196708092492,750000.0,4.0,103.0,1936.0
1048,Grzegorzki Olsza,Krakow,4.0,27372.0,50.0789773,19.9605879,455000.0,2.0,51.7,1987.0
1049,PragaPoudnie,Warszawa,0.0,18205.0,52.2373961,21.0712578,349990.0,1.0,40.0,1970.0
1050,Prsdnik Biay Gorka Narodowa Gaik,Krakow,1.0,22934.0,49.9897707,19.9134505,1007185.0,5.0,126.69,2021.0
1051,Nowe Miasto Malta ul Katowicka,Poznan,4.0,5837.0,52.3973449,16.9619394,312930.0,2.0,32.94,2022.0
1052,Krowodrza Bronowicka,Krakow,1.0,27016.0,50.081021,19.8917439,608760.0,2.0,50.73,2022.0
1053,Ursynow,Warszawa,5.0,15496.0,52.141039,21.0323214,520000.0,2.0,49.7,1980.0
1054,Krowodrza gen Tadeusza Kociuszki,Krakow,2.0,26754.0,50.0469432,19.997153435836697,1550000.0,3.0,158.0,1930.0
1055,Podgorze Paszow Lipska,Krakow,0.0,21943.0,50.0454593,20.0002025,476520.0,3.0,50.16,2021.0
